City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,east london,-33.0153,27.9116,17.090000000000032,83,70,5.62,ZA,2023-10-16
174,at taj,24.2049,23.2857,21.77000000000004,26,0,3.37,LY,2023-10-16
175,invercargill,-46.4,168.35,7.7900000000000205,91,50,1.79,NZ,2023-10-16
176,port mathurin,-19.6833,63.4167,23.890000000000043,86,1,4.0,MU,2023-10-16
177,aasiaat,68.7098,-52.8699,-9.649999999999977,98,100,2.99,GL,2023-10-16
178,saipan,15.1355,145.701,25.390000000000043,94,40,3.09,MP,2023-10-16
179,tazovsky,67.4667,78.7,-1.1399999999999864,96,99,0.25,RU,2023-10-16
180,nikolayevsk-on-amure,53.1406,140.73,7.720000000000027,90,100,3.09,RU,2023-10-16
181,calatayud,41.3535,-1.6432,18.30000000000001,59,100,2.5,ES,2023-10-16
182,kyren,51.6828,102.1408,2.75,97,75,0.89,RU,2023-10-16
183,bei'an,24.5399,109.533,18.340000000000032,62,33,1.49,CN,2023-10-16
184,kasongo-lunda,-6.4667,16.8167,22.129999999999995,95,100,0.78,CD,2023-10-16
185,camayenne,9.535,-13.6878,27.05000000000001,83,40,2.06,GN,2023-10-16
186,novyy urengoy,66.0833,76.6333,0.8000000000000114,88,100,3.08,RU,2023-10-16
187,guantanamo,20.1444,-75.2092,30.760000000000048,68,79,4.95,CU,2023-10-16
188,egersund,58.4513,5.9997,8.939999999999998,77,100,6.74,NO,2023-10-16
189,la'ie,21.6477,-157.9253,30.980000000000018,77,81,2.68,US,2023-10-16
190,dolores,-36.3132,-57.6792,18.640000000000043,69,90,3.66,AR,2023-10-16
191,isabela,6.7085,121.9711,25.80000000000001,84,29,0.41,PH,2023-10-16
192,zyryanovsk,49.7386,84.2719,2.0,80,43,1.37,KZ,2023-10-16
193,oranjemund,-28.55,16.4333,17.100000000000023,75,2,3.03,NA,2023-10-16
194,port saint john's,-31.6229,29.5448,17.900000000000034,83,100,5.67,ZA,2023-10-16
195,tual,-5.6667,132.75,26.629999999999995,82,28,4.93,ID,2023-10-16
196,keflavik,64.0049,-22.5624,5.240000000000009,81,75,2.57,IS,2023-10-16
197,portland,45.5234,-122.6762,19.49000000000001,91,75,4.12,US,2023-10-16
198,hwange,-18.3693,26.5019,23.74000000000001,76,91,2.81,ZW,2023-10-16
199,kenai,60.5544,-151.2583,8.410000000000025,71,40,9.26,US,2023-10-16
200,freetown,8.484,-13.2299,25.470000000000027,84,17,1.78,SL,2023-10-16
201,nabire,-3.3667,135.4833,23.710000000000036,94,99,1.79,ID,2023-10-16
202,ar ruways,24.1103,52.7306,28.840000000000032,64,0,2.8,AE,2023-10-16
203,da nang,16.0678,108.2208,24.99000000000001,94,75,5.66,VN,2023-10-16
204,umba,66.6871,34.3429,3.5500000000000114,65,100,5.36,RU,2023-10-16
205,enewetak,11.3474,162.3373,28.720000000000027,77,12,6.95,MH,2023-10-16
206,aras-asan,8.8908,126.3033,24.980000000000018,87,82,2.03,PH,2023-10-16
207,usogorsk,63.4106,48.6872,3.150000000000034,87,100,2.18,RU,2023-10-16
208,ulladulla,-35.35,150.4667,12.82000000000005,68,88,8.21,AU,2023-10-16
209,buka,40.8108,69.1986,10.870000000000005,38,81,1.42,UZ,2023-10-16
210,san luis de la loma,17.2706,-100.8939,29.24000000000001,81,88,2.16,MX,2023-10-16
211,saint-pierre,-21.3393,55.4781,23.82000000000005,78,100,1.54,RE,2023-10-16
212,yaren,-0.5472,166.916,28.310000000000002,75,100,6.08,NR,2023-10-16
213,praia da vitoria,38.7333,-27.0667,20.420000000000016,83,20,7.18,PT,2023-10-16
214,yanykurgan,43.915,67.2481,11.460000000000036,34,0,4.28,KZ,2023-10-16
215,filey,54.21,-0.2892,7.100000000000023,87,88,1.75,GB,2023-10-16
216,la passe,45.5549,-0.8967,14.129999999999995,55,100,5.39,FR,2023-10-16
217,viedma,-40.8135,-62.9967,12.800000000000011,45,0,6.63,AR,2023-10-16
218,chepelare,41.7333,24.6833,4.660000000000025,52,82,1.46,BG,2023-10-16
219,road town,18.4167,-64.6167,31.05000000000001,70,40,3.09,VG,2023-10-16
220,toungo,8.1167,12.05,22.400000000000034,91,38,1.03,NG,2023-10-16
221,whangarei,-35.7317,174.3239,19.25,64,23,3.88,NZ,2023-10-16
222,clearwater,27.9659,-82.8001,21.950000000000045,61,40,9.83,US,2023-10-16
223,ankazoabo,-22.2833,44.5167,23.05000000000001,61,100,4.47,MG,2023-10-16
224,south sioux city,42.4739,-96.4136,17.150000000000034,42,0,2.57,US,2023-10-16
225,lindi,-10.0,39.7167,24.720000000000027,93,41,2.31,TZ,2023-10-16
226,salinopolis,-0.6136,-47.3561,27.5,79,19,5.78,BR,2023-10-16
227,urcos,-13.6861,-71.6228,22.939999999999998,45,72,3.49,PE,2023-10-16
228,priargunsk,50.3691,119.1012,1.7300000000000182,43,44,1.09,RU,2023-10-16
229,yuzhno-kurilsk,44.0306,145.8556,10.760000000000048,75,38,5.5,RU,2023-10-16
230,castillos,-34.1667,-53.8333,18.850000000000023,88,99,1.09,UY,2023-10-16
231,barcelos,41.5388,-8.6151,23.08000000000004,76,100,6.01,PT,2023-10-16
232,tadmur,34.5608,38.2805,18.950000000000045,71,0,6.06,SY,2023-10-16
233,codrington,-38.2667,141.9667,8.07000000000005,77,0,1.77,AU,2023-10-16
234,bubaque,11.2833,-15.8333,27.75,83,0,5.58,GW,2023-10-16
235,fale old settlement,-9.3852,-171.2468,28.560000000000002,77,87,9.92,TK,2023-10-16
236,pathein,16.7833,94.7333,24.210000000000036,94,29,0.68,MM,2023-10-16
237,nuuk,64.1835,-51.7216,-2.659999999999968,68,20,7.2,GL,2023-10-16
238,bayganin,48.6947,55.8742,9.010000000000048,61,0,6.05,KZ,2023-10-16
239,dryden,49.7833,-92.7503,13.160000000000025,47,0,1.03,CA,2023-10-16
240,linares,-35.85,-71.6,18.27000000000004,51,0,3.78,CL,2023-10-16
241,san andres del rabanedo,42.6117,-5.6167,15.990000000000009,97,75,2.06,ES,2023-10-16
242,kavieng,-2.5744,150.7967,27.28000000000003,74,74,2.19,PG,2023-10-16
243,taroa,8.7058,171.2275,28.230000000000018,74,100,5.77,MH,2023-10-16
244,visby,57.6409,18.296,8.120000000000005,57,10,8.23,SE,2023-10-16
245,bikin,46.8161,134.26,-1.1599999999999682,76,16,1.29,RU,2023-10-16
246,newport,51.5877,-2.9984,10.300000000000011,79,100,6.62,GB,2023-10-16
247,rawson,-43.3002,-65.1023,13.050000000000011,43,2,4.9,AR,2023-10-16
248,okhotsk,59.3833,143.3,-5.489999999999952,70,47,9.53,RU,2023-10-16
249,quiberon,47.4841,-3.1196,15.110000000000014,60,100,3.13,FR,2023-10-16
250,lucapa,-8.4192,20.7447,21.410000000000025,82,91,1.95,AO,2023-10-16
251,puerto gaitan,4.3133,-72.0816,31.100000000000023,55,33,1.31,CO,2023-10-16
252,ujae,8.9322,165.7642,28.27000000000004,77,41,6.47,MH,2023-10-16
253,shiyan,32.6475,110.7781,17.25,78,59,0.42,CN,2023-10-16
254,peniche,39.3558,-9.3811,22.939999999999998,86,100,12.27,PT,2023-10-16
255,achinsk,56.2694,90.4993,3.920000000000016,95,100,7.84,RU,2023-10-16
256,akureyri,65.6835,-18.0878,2.9600000000000364,87,100,2.57,IS,2023-10-16
257,guerrero negro,27.9769,-114.0611,27.170000000000016,48,20,5.84,MX,2023-10-16
258,el calafate,-50.3408,-72.2768,8.930000000000007,57,97,4.59,AR,2023-10-16
259,jiagedaqi,50.4167,124.1167,-0.2999999999999545,48,89,1.21,CN,2023-10-16
260,san miguel de salcedo,-1.0333,-78.5667,18.32000000000005,64,40,7.72,EC,2023-10-16
261,laguna,38.421,-121.4238,29.189999999999998,39,0,1.54,US,2023-10-16
262,tobelo,1.7284,128.0095,26.600000000000023,82,92,1.38,ID,2023-10-16
263,nago,26.5881,127.9761,22.24000000000001,64,6,3.99,JP,2023-10-16
264,lorengau,-2.0226,147.2712,27.75,76,100,1.62,PG,2023-10-16
265,puerto varas,-41.3195,-72.9854,13.120000000000005,58,20,6.69,CL,2023-10-16
266,whistler,50.1164,-122.9695,10.310000000000002,100,100,0.0,CA,2023-10-16
267,kikwit,-5.041,18.8162,22.83000000000004,88,99,0.38,CD,2023-10-16
